조사연도,가구고유번호,수도권여부,가구주_성별코드,가구원수,노인가구코드,조손가구코드,한부모가구코드,다문화가구코드,장애인가구코드,교육정도_통합코드,동거코드,산업대분류코드,직업대분류코드,만연령,종사상지위코드,혼인상태코드,입주형태통합코드,전용면적규모코드,주택종류통합코드,부채보유여부,자산금액,부채금액,근로소득,사업소득,재산소득
2016,10200111,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,G,5,49,고용원이 있는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,76202,22200,4000,5000,0
2016,10200121,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,R,2,45,상용근로자,미혼,자기집,132.2㎡ 이상,단독주택,부채 보유,116466,45000,3000,0,0
2016,10200151,수도권,여자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,P,3,53,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 보유,125360,8000,12600,0,0
2016,10200161,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,I,1,46,고용원이 있는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,79406,25500,0,4200,0
2016,10200171,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,K,2,36,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,45600,27800,12420,0,0
2016,10200191,수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,O,9,80,임시.일용근로자,사별,월세,49.6㎡ 미만,단독주택,부채 미보유,5355,0,160,0,0
2016,10200211,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,G,5,57,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,156100,15000,0,7200,3600
2016,10200231,비수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,0,0,69,"기타(무직자, 가사, 학생 등)",사별,월세,49.6㎡ 미만,단독주택,부채 미보유,218,0,2160,0,0
2016,10200241,비수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,C,7,54,고용원이 있는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,20362,9000,2880,5000,0
2016,10200251,비수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,0,0,65,"기타(무직자, 가사, 학생 등)",사별,기타,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,74310,0,0,7000,0
2016,10200261,비수도권,남자,2,노인가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,0,0,77,"기타(무직자, 가사, 학생 등)",배우자있음,기타,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,30,4200,120,0,0
2016,10200281,비수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,R,5,63,고용원이 있는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,28390,20,0,3000,0
2016,10200311,수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,N,9,71,임시.일용근로자,사별,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,18000,0,600,0,0
2016,10200371,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,G,7,53,고용원이 있는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,47662,6000,0,13000,100
2016,10201181,수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,1인 가구,0,0,67,"기타(무직자, 가사, 학생 등)",사별,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 미보유,16590,0,0,0,60
2016,10201191,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,K,3,52,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 보유,241280,86300,11000,3000,0
2016,10201211,비수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,0,0,83,"기타(무직자, 가사, 학생 등)",사별,전세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,4700,0,0,0,0
2016,10201241,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,5,39,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,79510,10700,5000,0,240
2016,10201291,비수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,0,0,67,"기타(무직자, 가사, 학생 등)",사별,전세,49.6㎡ 미만,아파트,부채 미보유,15850,0,0,0,0
2016,10201321,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,1,43,고용원이 있는 자영업자,배우자있음,자기집,132.2㎡ 이상,아파트,부채 보유,49190,17000,0,8000,0
2016,10201331,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,J,2,44,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,77595,30800,5500,1800,1320
2016,10201351,수도권,여자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,P,3,45,상용근로자,미혼,월세,49.6㎡ 미만,연립 및 다세대,부채 미보유,13122,0,5500,0,0
2016,10201361,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,Q,2,63,고용원이 있는 자영업자,사별,월세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,55985,27150,400,1800,0
2016,10201381,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,2,31,고용원이 없는 자영업자,배우자있음,전세,49.6㎡ 미만,단독주택,부채 보유,13500,9830,0,2500,0
2016,10202121,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,7,41,상용근로자,미혼,자기집,49.6㎡ 미만,연립 및 다세대,부채 보유,11050,2500,3042,0,0
2016,10202131,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,G,5,48,상용근로자,이혼,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,11193,2600,2700,0,0
2016,10202141,수도권,여자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,J,2,29,고용원이 없는 자영업자,미혼,월세,49.6㎡ 미만,기타,부채 보유,2000,20,0,3000,0
